device_type,selected_from,warmup_alpha,stable_alpha,drift_alpha,anchor_strength,confirmation_windows,stable_batch_size,threshold_ceiling,objective,feasible,stable_fpr,controlled_drift_fpr,worst_client_stable_fpr,worst_client_controlled_drift_fpr,detection_rate,worst_group_detection,mean_group_shortfall,maximum_group_shortfall
sensor,pso_minimum_shortfall_fallback,0.463582295501215,8.791887165802012e-05,0.24999999999999994,0.4987337802497762,8,128,1.4387909280492446,1000006.3446036945,False,0.0,0.0,0.0,0.0,0.8786407766990292,0.0,0.003913571808308648,0.06142857142857142
camera,pso,0.09131314499544427,0.00012911910354305095,0.047754399742343065,0.3736023460553591,8,81,1.0884640340540186,0.3004481349677079,True,0.009259259259259259,0.046296296296296294,0.027777777777777776,0.1111111111111111,0.9169632265717675,0.0,0.0,0.0
edge-infrastructure,pso_minimum_shortfall_fallback,0.2548920659041148,1.0570989969670856e-05,0.1111821247320305,0.5507486005136293,36,22,1.1059501381538104,1000106.6122003424,False,0.0,0.0,0.0,0.0,0.7598784194528876,0.0,0.1520038852662966,0.99
smart-plug,pso_minimum_shortfall_fallback,0.06919274775114988,0.0007655673613060632,0.01010828017912214,0.4222975559670393,35,16,1.153970917028039,1000006.440049261,False,0.001984126984126984,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.3275862068965517,0.0,0.003723809523809522,0.061428571428571416
network-device,pso_minimum_shortfall_fallback,0.7500000000000001,0.0004854207967610909,0.04314569976501808,0.09208756297066314,48,35,1.3232399085499547,1000105.3154363751,False,0.006944444444444444,0.006944444444444444,0.013888888888888888,0.013888888888888888,0.8622448979591837,0.0,0.12450430573384681,0.99
