model,average_ms,median_ms,maximum_ms
Baseline,0.21009699064310508,0.20179999410174787,0.5623000033665448
Drift Simulation,0.20443442151224223,0.19829999655485153,0.45610000961460173
Adaptive Fisher-Weighted Z,0.2866862035632409,0.2783999952953309,0.6851000071037561
