model,attack_family,attack_type,raw_detected_windows,confirmed_windows,total_windows,detected_events,total_events,raw_detection_rate,detection_rate,event_detection_rate
Drift Simulation,malware,mirai-udp-flood,320,312,353,6,6,0.9065155807365439,0.8838526912181303,1.0
Drift Simulation,recon,os-scan,267,250,314,18,20,0.8503184713375797,0.7961783439490446,0.9
Drift Simulation,recon,vuln-scan,240,223,313,18,20,0.7667731629392971,0.7124600638977636,0.9
Drift Simulation,web,xss,34,33,34,1,1,1.0,0.9705882352941176,1.0
Drift Simulation,web,command-injection,158,157,158,1,1,1.0,0.9936708860759493,1.0
Drift Simulation,ddos,slowloris-port-8000,9,8,9,1,1,1.0,0.8888888888888888,1.0
Drift Simulation,web,sql-injection,60,59,60,1,1,1.0,0.9833333333333333,1.0
Drift Simulation,bruteforce,dictionary-telnet,94,92,94,2,2,1.0,0.9787234042553191,1.0
Drift Simulation,ddos,slowloris-port-554,9,8,9,1,1,1.0,0.8888888888888888,1.0
Drift Simulation,mitm,arp-spoofing,29,22,150,4,10,0.19333333333333333,0.14666666666666667,0.4
Drift Simulation,web,backdoor-upload,32,31,32,1,1,1.0,0.96875,1.0
Drift Simulation,bruteforce,dictionary-ssh,83,80,83,3,3,1.0,0.963855421686747,1.0
Drift Simulation,dos,http-flood-port-554,9,8,9,1,1,1.0,0.8888888888888888,1.0
Drift Simulation,ddos,slowloris-port-80,24,22,27,3,3,0.8888888888888888,0.8148148148148148,1.0
Drift Simulation,dos,slowloris-port-80,18,16,27,2,3,0.6666666666666666,0.5925925925925926,0.6666666666666666
Drift Simulation,recon,ping-sweep,38,34,163,8,20,0.2331288343558282,0.2085889570552147,0.4
Drift Simulation,dos,slowloris-port-8000,9,8,9,1,1,1.0,0.8888888888888888,1.0
Drift Simulation,dos,slowloris-port-554,7,7,9,1,1,0.7777777777777778,0.7777777777777778,1.0
Drift Simulation,mitm,impersonation,1,0,56,0,7,0.017857142857142856,0.0,0.0
Drift Simulation,dos,http-flood-port-443,6,7,9,1,1,0.6666666666666666,0.7777777777777778,1.0
Adaptive Fisher-Weighted Z,ddos,syn-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,push-ack-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,rst-fin-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,udp-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,rst-fin-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,udp-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,icmp-flood,126,112,126,14,14,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,synonymousip-flood-port-80,56,48,63,6,7,0.8888888888888888,0.7619047619047619,0.8571428571428571
Adaptive Fisher-Weighted Z,ddos,tcp-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,push-ack-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,synonymousip-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,syn-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,ddos,tcp-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,udp-flood,126,112,126,14,14,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,syn-flood-port-80,47,41,48,7,7,0.9791666666666666,0.8541666666666666,1.0
Adaptive Fisher-Weighted Z,mitm,ip-spoofing,112,99,112,13,13,1.0,0.8839285714285714,1.0
Adaptive Fisher-Weighted Z,dos,synonymousip-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,push-ack-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,synonymousip-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,icmp-flood,126,112,126,14,14,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,rst-fin-flood-port-1883,90,80,90,10,10,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,rst-fin-flood-port-80,36,32,36,4,4,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,syn-flood-port-22,4,3,4,1,1,1.0,0.75,1.0
Adaptive Fisher-Weighted Z,dos,ack-frag-flood-port-80,54,48,54,6,6,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,http-flood-port-80,36,32,36,4,4,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,tcp-flood-port-80,48,41,48,7,7,1.0,0.8541666666666666,1.0
Adaptive Fisher-Weighted Z,dos,tcp-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,syn-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
Adaptive Fisher-Weighted Z,dos,push-ack-flood-port-1883,63,56,63,7,7,1.0,0.8888888888888888,1.0
