device_type,selected_from,warmup_alpha,stable_alpha,drift_alpha,anchor_strength,confirmation_windows,stable_batch_size,threshold_ceiling,objective,stable_fpr,controlled_drift_fpr,worst_client_stable_fpr,worst_client_controlled_drift_fpr,detection_rate,worst_group_detection,mean_group_shortfall,maximum_group_shortfall
doorbell,pso,0.00074801166215696,0.00027520253259000985,0.051100997144790716,0.5829776451012318,24,58,1.2525277033933908,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
thermostat,pso,0.038835004931298045,0.00023169229850922936,0.08426931202293282,0.5990467849233542,10,29,1.4567193027861083,0.009203318077803198,0.0015255530129672007,0.0,0.0015255530129672007,0.0,0.9990000000000001,0.998,0.0,0.0
baby_monitor,conservative,0.002,1e-05,0.03,0.35,32,64,1.3,2.9999999999996697e-05,0.0,0.0,0.0,0.0,0.9994000000000001,0.998,0.0,0.0
security_camera,pso,0.03070540519047772,4.324568099197081e-05,0.03642364595202383,0.19945073978226047,40,48,1.264519287604588,0.0036179410170050236,8.819508753362438e-05,8.819508753362438e-05,0.0010245901639344263,0.0010245901639344263,0.9997,0.998,0.0,0.0
webcam,pso,0.0004999999999999999,0.0011230840008764312,0.07646773723407123,0.6,60,127,1.3493218902324302,0.24851390220517736,0.04046021093000959,0.0019175455417066154,0.04046021093000959,0.0019175455417066154,1.0,1.0,0.0,0.0
