model,device_name,device_type,source_file,attack_family,attack_type,raw_detected_windows,detected_windows,total_windows,raw_detection_rate,detection_rate
Adaptive Fisher-Weighted Z,device_1,doorbell,1.gafgyt.udp.csv,Gafgyt,udp,84691,84696,84700,0.9998937426210154,0.9999527744982291
Adaptive Fisher-Weighted Z,device_1,doorbell,1.mirai.ack.csv,Mirai,ack,81756,81755,81756,1.0,0.9999877684818239
Adaptive Fisher-Weighted Z,device_1,doorbell,1.mirai.scan.csv,Mirai,scan,86147,86147,86148,0.9999883920694619,0.9999883920694619
Adaptive Fisher-Weighted Z,device_1,doorbell,1.mirai.syn.csv,Mirai,syn,98057,98056,98059,0.9999796041158894,0.9999694061738341
Adaptive Fisher-Weighted Z,device_1,doorbell,1.mirai.udp.csv,Mirai,udp,190130,190129,190132,0.9999894809921528,0.9999842214882292
Adaptive Fisher-Weighted Z,device_1,doorbell,1.mirai.udpplain.csv,Mirai,udpplain,65586,65585,65586,1.0,0.9999847528435947
Adaptive Fisher-Weighted Z,device_2,thermostat,2.gafgyt.combo.csv,Gafgyt,combo,42407,42406,42410,0.9999292619665173,0.9999056826220231
Adaptive Fisher-Weighted Z,device_2,thermostat,2.gafgyt.junk.csv,Gafgyt,junk,24246,24244,24250,0.9998350515463917,0.9997525773195877
Adaptive Fisher-Weighted Z,device_2,thermostat,2.gafgyt.scan.csv,Gafgyt,scan,21994,21992,21996,0.9999090743771595,0.999818148754319
Adaptive Fisher-Weighted Z,device_2,thermostat,2.gafgyt.tcp.csv,Gafgyt,tcp,76013,76012,76017,0.999947380191273,0.9999342252390913
Adaptive Fisher-Weighted Z,device_2,thermostat,2.gafgyt.udp.csv,Gafgyt,udp,83824,83828,83833,0.9998926437083249,0.9999403576157361
Adaptive Fisher-Weighted Z,device_2,thermostat,2.mirai.ack.csv,Mirai,ack,90625,90623,90628,0.9999668976475261,0.9999448294125436
Adaptive Fisher-Weighted Z,device_2,thermostat,2.mirai.scan.csv,Mirai,scan,34553,34553,34554,0.9999710597904728,0.9999710597904728
Adaptive Fisher-Weighted Z,device_2,thermostat,2.mirai.syn.csv,Mirai,syn,93443,93441,93446,0.9999678958970957,0.999946493161826
Adaptive Fisher-Weighted Z,device_2,thermostat,2.mirai.udp.csv,Mirai,udp,121185,121184,121185,1.0,0.9999917481536493
Adaptive Fisher-Weighted Z,device_2,thermostat,2.mirai.udpplain.csv,Mirai,udpplain,69891,69889,69895,0.9999427712998068,0.9999141569497103
Adaptive Fisher-Weighted Z,device_3,doorbell,3.gafgyt.combo.csv,Gafgyt,combo,42412,42411,42412,1.0,0.9999764217674243
Adaptive Fisher-Weighted Z,device_3,doorbell,3.gafgyt.junk.csv,Gafgyt,junk,23838,23837,23838,1.0,0.9999580501719942
Adaptive Fisher-Weighted Z,device_3,doorbell,3.gafgyt.scan.csv,Gafgyt,scan,22496,22495,22496,1.0,0.999955547652916
Adaptive Fisher-Weighted Z,device_3,doorbell,3.gafgyt.tcp.csv,Gafgyt,tcp,81229,81228,81229,1.0,0.9999876891258048
Adaptive Fisher-Weighted Z,device_3,doorbell,3.gafgyt.udp.csv,Gafgyt,udp,83145,83146,83147,0.9999759462157384,0.9999879731078692
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.gafgyt.combo.csv,Gafgyt,combo,46513,46512,46522,0.9998065431408796,0.9997850479343107
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.gafgyt.junk.csv,Gafgyt,junk,22669,22668,22680,0.9995149911816579,0.9994708994708995
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.gafgyt.scan.csv,Gafgyt,scan,22287,22287,22288,0.9999551328068916,0.9999551328068916
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.gafgyt.tcp.csv,Gafgyt,tcp,74005,74057,74065,0.9991899007628434,0.9998919867683791
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.gafgyt.udp.csv,Gafgyt,udp,84547,84617,84626,0.9990664807505968,0.9998936497057642
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.mirai.ack.csv,Mirai,ack,72891,72889,72899,0.9998902591256396,0.9998628239070495
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.mirai.scan.csv,Mirai,scan,82897,82896,82897,1.0,0.99998793683728
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.mirai.syn.csv,Mirai,syn,94491,94489,94503,0.99987301990413,0.9998518565548183
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.mirai.udp.csv,Mirai,udp,173628,173627,173628,1.0,0.9999942405602783
Adaptive Fisher-Weighted Z,device_4,baby_monitor,4.mirai.udpplain.csv,Mirai,udpplain,64640,64639,64647,0.9998917196466967,0.9998762510247962
Adaptive Fisher-Weighted Z,device_5,security_camera,5.gafgyt.combo.csv,Gafgyt,combo,49101,49100,49104,0.9999389051808406,0.9999185402411209
Adaptive Fisher-Weighted Z,device_5,security_camera,5.gafgyt.junk.csv,Gafgyt,junk,24660,24658,24719,0.9976131720538857,0.9975322626319835
Adaptive Fisher-Weighted Z,device_5,security_camera,5.gafgyt.scan.csv,Gafgyt,scan,23438,23437,23438,1.0,0.9999573342435362
Adaptive Fisher-Weighted Z,device_5,security_camera,5.gafgyt.tcp.csv,Gafgyt,tcp,83543,83597,83608,0.9992225624342168,0.9998684336427136
Adaptive Fisher-Weighted Z,device_5,security_camera,5.gafgyt.udp.csv,Gafgyt,udp,83137,83201,83209,0.9991347089858068,0.9999038565539785
Adaptive Fisher-Weighted Z,device_5,security_camera,5.mirai.ack.csv,Mirai,ack,48444,48443,48444,1.0,0.9999793576087854
Adaptive Fisher-Weighted Z,device_5,security_camera,5.mirai.scan.csv,Mirai,scan,77425,77424,77425,1.0,0.999987084275105
