device_type,iteration,particle,candidate,warmup_alpha,stable_alpha,drift_alpha,anchor_strength,confirmation_windows,stable_batch_size,threshold_ceiling,objective,stable_fpr,controlled_drift_fpr,worst_client_stable_fpr,worst_client_controlled_drift_fpr,detection_rate,worst_group_detection,mean_group_shortfall,maximum_group_shortfall
doorbell,0,0,conservative,0.002,1e-05,0.03,0.35,32,64,1.3,0.01204573866809079,0.001128158844765343,0.00157942238267148,0.0012787723785166241,0.0018167137666532096,1.0,1.0,0.0,0.0
doorbell,1,1,pso,0.017655584569107048,0.00010229925108267835,0.065468388715788,0.4638156130767137,13,125,1.456683821194212,0.012924491060133686,0.0012409747292418773,0.0016922382671480144,0.0012787723785166241,0.0020185708518368995,1.0,1.0,0.0,0.0
doorbell,1,2,pso,0.018668035362515156,1.9714842488836478e-05,0.019272391935376273,0.31685911090466157,60,88,1.493656967962498,0.015061935330817478,0.0012409747292418773,0.002256317689530686,0.0012787723785166241,0.0030278562777553493,1.0,1.0,0.0,0.0
doorbell,1,3,pso,0.003852994614586506,3.333366872363813e-05,0.026333067197387077,0.17871776524687888,54,87,1.4548526440512244,0.01204573866809079,0.001128158844765343,0.00157942238267148,0.0012787723785166241,0.0018167137666532096,1.0,1.0,0.0,0.0
doorbell,1,4,pso,0.002558715150156814,0.0017124002038589048,0.07260179744876613,0.5002725736831928,19,68,1.0262822594723373,0.01204573866809079,0.001128158844765343,0.00157942238267148,0.0012787723785166241,0.0018167137666532096,1.0,1.0,0.0,0.0
doorbell,1,5,pso,0.0010175341376835734,0.00037300626813757627,0.04655088144589552,0.5853793795953944,26,57,1.2817334867654848,0.011618249813954032,0.001128158844765343,0.0014666064981949459,0.0012787723785166241,0.0016148566814695195,1.0,1.0,0.0,0.0
doorbell,1,6,pso,0.0011965000538752368,1.9904592042223675e-05,0.020791048065864026,0.25210920707289786,46,65,1.4996069176347024,0.011618249813954032,0.001128158844765343,0.0014666064981949459,0.0012787723785166241,0.0016148566814695195,1.0,1.0,0.0,0.0
doorbell,1,7,pso,0.012574774576068246,5.23317202919728e-05,0.060501336727088906,0.5121439608735608,30,48,1.4094973023849853,0.012924491060133686,0.0012409747292418773,0.0016922382671480144,0.0012787723785166241,0.0020185708518368995,1.0,1.0,0.0,0.0
doorbell,1,8,pso,0.0009516450031119305,2.8839967741513796e-05,0.005111502036007288,0.5041159698759622,45,95,1.4684374186131808,0.011618249813954032,0.001128158844765343,0.0014666064981949459,0.0012787723785166241,0.0016148566814695195,1.0,1.0,0.0,0.0
doorbell,2,1,pso,0.004424023463655399,0.000684049893720506,0.04850580691084538,0.5334494346120392,20,30,1.4189663650352964,0.01204573866809079,0.001128158844765343,0.00157942238267148,0.0012787723785166241,0.0018167137666532096,1.0,1.0,0.0,0.0
doorbell,2,2,pso,0.018204472553226582,0.00014844654123550698,0.07324923281241051,0.6,21,40,1.2043277454351993,0.012924491060133686,0.0012409747292418773,0.0016922382671480144,0.0012787723785166241,0.0020185708518368995,1.0,1.0,0.0,0.0
doorbell,2,3,pso,0.0011372024757208088,9.782534271724166e-05,0.05907397890854933,0.565564309003915,35,79,1.2435891374238932,0.011618249813954032,0.001128158844765343,0.0014666064981949459,0.0012787723785166241,0.0016148566814695195,1.0,1.0,0.0,0.0
doorbell,2,4,pso,0.001975586538629058,0.0002098351167025942,0.06964497198998135,0.5262956300157094,27,71,1.0669994487450754,0.011618249813954032,0.001128158844765343,0.0014666064981949459,0.0012787723785166241,0.0016148566814695195,1.0,1.0,0.0,0.0
doorbell,2,5,pso,0.00074801166215696,0.00027520253259000985,0.051100997144790716,0.5829776451012318,24,58,1.2525277033933908,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
doorbell,2,6,pso,0.001311277710887907,2.033359743967112e-05,0.026109121225144805,0.305503088585232,27,61,1.2994957518263095,0.011618249813954032,0.001128158844765343,0.0014666064981949459,0.0012787723785166241,0.0016148566814695195,1.0,1.0,0.0,0.0
doorbell,2,7,pso,0.0007167881066718384,0.00040837463328448657,0.06638542856322406,0.6,24,66,1.4077957207099,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
doorbell,2,8,pso,0.0011081568995690394,0.0009782920458932792,0.01734627134999192,0.5153727757587152,34,57,1.175808012072324,0.011618249813954032,0.001128158844765343,0.0014666064981949459,0.0012787723785166241,0.0016148566814695195,1.0,1.0,0.0,0.0
doorbell,3,1,pso,0.0014953193556238012,0.0020000000000000005,0.04005580815803346,0.6,27,16,1.3802674610224073,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
doorbell,3,2,pso,0.002989776907890578,0.0009906658667658203,0.1,0.6,8,31,1.0089631635519716,0.01204573866809079,0.001128158844765343,0.00157942238267148,0.0012787723785166241,0.0018167137666532096,1.0,1.0,0.0,0.0
doorbell,3,3,pso,0.0004999999999999999,0.0008432537278501625,0.08404305840584037,0.6,8,53,1.1061493482428537,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
doorbell,3,4,pso,0.001354999837208976,6.003046693244329e-05,0.053276480914477266,0.6,31,65,1.2734870674106744,0.011618249813954032,0.001128158844765343,0.0014666064981949459,0.0012787723785166241,0.0016148566814695195,1.0,1.0,0.0,0.0
doorbell,3,5,pso,0.0006030591833821927,0.00022243741206570848,0.05454819706839115,0.581296430955318,22,58,1.2320836550329253,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
doorbell,3,6,pso,0.0009779396271374508,9.0505831518501e-05,0.04609535035005906,0.441587348613411,13,58,1.175223918350236,0.011618249813954032,0.001128158844765343,0.0014666064981949459,0.0012787723785166241,0.0016148566814695195,1.0,1.0,0.0,0.0
doorbell,3,7,pso,0.0004999999999999999,0.0012531383191590004,0.050773638248730144,0.6,20,71,1.259196815405767,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
doorbell,3,8,pso,0.0009088145426248484,7.79632797691933e-05,0.02752969332305157,0.5883407988776924,21,80,1.4152691778338684,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
doorbell,4,1,pso,0.0004999999999999999,0.0005540437293749549,0.035190667395920014,0.6,28,16,1.2653159969680892,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
doorbell,4,2,pso,0.0004999999999999999,0.0020000000000000005,0.0734100105532082,0.6,8,64,1.1934208802573332,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
doorbell,4,3,pso,0.0004999999999999999,0.000933967036095319,0.0993537556691354,0.6,8,39,1.0297993430979602,0.011190760959817274,0.001128158844765343,0.0013537906137184115,0.0012787723785166241,0.0014129995962858296,1.0,1.0,0.0,0.0
