device_type,feature,fisher_weight,weight_source
security_camera,HH_L0.1_std,1.2701022811715854,device-type attack tuning
security_camera,HH_L0.1_magnitude,0.38579009836817724,device-type attack tuning
security_camera,HH_L0.1_radius,1.1457994027702818,device-type attack tuning
security_camera,HH_L0.1_covariance,0.854320434083749,device-type attack tuning
security_camera,HH_L0.1_pcc,0.18951175726090813,device-type attack tuning
security_camera,HH_jit_L0.1_weight,1.9056064821206173,device-type attack tuning
security_camera,HH_jit_L0.1_mean,2.487010100090592,device-type attack tuning
security_camera,HH_jit_L0.1_variance,0.5793919856188791,device-type attack tuning
security_camera,HpHp_L0.1_weight,0.5468405277224965,device-type attack tuning
security_camera,HpHp_L0.1_mean,0.386884829929406,device-type attack tuning
security_camera,HpHp_L0.1_std,0.9374600794303879,device-type attack tuning
security_camera,HpHp_L0.1_magnitude,0.16180996870649217,device-type attack tuning
security_camera,HpHp_L0.1_radius,0.749277270699604,device-type attack tuning
security_camera,HpHp_L0.1_covariance,0.6662490884766901,device-type attack tuning
security_camera,HpHp_L0.1_pcc,0.5576560587182756,device-type attack tuning
webcam,MI_dir_L0.1_weight,0.7838842633330795,device-type attack tuning
webcam,MI_dir_L0.1_mean,2.6112996423705837,device-type attack tuning
webcam,MI_dir_L0.1_variance,2.856179462915544,device-type attack tuning
webcam,H_L0.1_weight,0.7838841591245486,device-type attack tuning
webcam,H_L0.1_mean,2.6111505494673186,device-type attack tuning
webcam,H_L0.1_variance,2.857447186757764,device-type attack tuning
webcam,HH_L0.1_weight,0.699798632590715,device-type attack tuning
webcam,HH_L0.1_mean,1.1435157345261886,device-type attack tuning
webcam,HH_L0.1_std,0.9383378001476249,device-type attack tuning
webcam,HH_L0.1_magnitude,1.3892955096464443,device-type attack tuning
webcam,HH_L0.1_radius,0.0803017421244185,device-type attack tuning
webcam,HH_L0.1_covariance,0.028031839728945834,device-type attack tuning
webcam,HH_L0.1_pcc,0.013772409500102785,device-type attack tuning
webcam,HH_jit_L0.1_weight,0.6997986325907142,device-type attack tuning
webcam,HH_jit_L0.1_mean,0.9575246004584279,device-type attack tuning
webcam,HH_jit_L0.1_variance,0.3217873883985124,device-type attack tuning
webcam,HpHp_L0.1_weight,0.5250393784692547,device-type attack tuning
webcam,HpHp_L0.1_mean,1.1371765556785705,device-type attack tuning
webcam,HpHp_L0.1_std,1.0201359965589345,device-type attack tuning
webcam,HpHp_L0.1_magnitude,1.420880481519193,device-type attack tuning
webcam,HpHp_L0.1_radius,0.10805034778610698,device-type attack tuning
webcam,HpHp_L0.1_covariance,0.010078828583927424,device-type attack tuning
webcam,HpHp_L0.1_pcc,0.0026288577230778403,device-type attack tuning
