storage_scope,items,bytes_per_item,total_bytes,details
general profile statistical state,3,920,2760,38 means + 38 standard deviations + 38 Fisher weights + 1 threshold
client profile statistical state,10,920,9200,38 means + 38 standard deviations + 38 Fisher weights + 1 threshold
stable rolling-statistics state,10,616,6160,count + 38 running means + 38 running M2 values; stable batch closes at a PSO-selected size of 16-128 windows across device types
peak drift rolling-statistics state,10,680,6800,rolling statistics + up to 8 scalar drift scores; no complete feature vectors retained
