device_type,selected_from,warmup_alpha,stable_alpha,drift_alpha,anchor_strength,confirmation_windows,stable_batch_size,threshold_ceiling,objective,stable_fpr,controlled_drift_fpr
Camera,pso,0.107891744312579,0.004999999999999999,0.21083506527277554,0.3433390731829602,8,50,1.0,0.0003453038674033149,0.0,0.00011510128913443831
Home Automation,pso,0.7500000000000001,0.004999999999999999,0.24999999999999994,0.4,8,16,1.6,0.06720430107526881,0.005376344086021506,0.013440860215053764
Audio,pso,0.049999999999999996,0.002254621322551665,0.19892645918539714,0.11533177286776447,8,128,1.1424598083755828,0.09596774193548388,0.010483870967741936,0.014516129032258065
